char;	count;	type,std_chars
𣮖;	8;	4,剺
萞;	8;	4,蓖
𥊼;	8;	2,瞠
𥕺;	8;	2,磣,4,磣
䱇;	8;	2,鱔
𦙟;	8;	2,臍;齊
𧈩;	8;	2,蟘
𡹮;	8;	2,崦,4,崦
䘱;	8;	2,裕
𤗶;	8;	2,𤖖
𡻱;	8;	2,𡼊;㠥,4,
𥙆;	8;	4,袨
䇃;	8;	2,俟,4,俟
𦙭;	8;	2,疼
𧧼;	8;	2,誼
䊉;	8;	2,糝
𪀫;	8;	2,雛;鶵
𠮟;	8;	2,叱,4,叱
𨊧;	8;	2,釭,4,釭
𧯻;	8;	2,嚭,4,嚭
𪙍;	8;	2,㗘
𥹡;	8;	2,籹,4,籹
𩟋;	8;	2,贍
𪖵;	8;	2,齆
𨏔;	8;	2,轆,4,轆
緥;	8;	2,褓
𠿚;	8;	2,喋
𥇋;	8;	2,盲,4,盲
唿;	8;	2,啒
𧐂;	8;	2,蝕
𡠜;	8;	2,嫫;𡖶,4,嫫
𪁪;	8;	2,𪁒
疅;	8;	2,疆
𩚙;	8;	2,麨
𥝰;	8;	4,秫
𧐭;	8;	2,螫
䊯;	8;	2,穬,4,穬
𤡣;	8;	2,驉
𢐙;	8;	2,彀
𤇏;	8;	2,丞;烝,4,烝
𪌒;	8;	2,𣣋
擵;	8;	2,摩
𧬒;	8;	2,謾
𧑙;	8;	2,𧐴
䊪;	8;	2,糲
𨥤;	8;	2,舒,4,矛
𪈝;	8;	2,鴒
𢫸;	8;	2,捂;杇
𩛞;	8;	2,飽
𧎴;	8;	2,蜇;𧋍,4,蜇
𩾦;	8;	2,鴈
𨈛;	8;	2,肢
𦡜;	8;	2,臂,4,臂
𩊐;	8;	2,䩸
𦠊;	8;	2,腦,4,腦
𧿠;	8;	2,䟡
𦁛;	8;	2,紲
𨁻;	8;	2,蹀
𤷜;	8;	2,癊
楽;	8;	2,樂
漄;	8;	2,涯
揸;	8;	2,摣
𨀛;	8;	2,蹲,4,
鄥;	8;	2,鄡
㒃;	8;	2,膩;貳
鉁;	8;	2,珍
巌;	8;	2,巖
㬶;	8;	2,浩;皓
𣒀;	8;	2,旋;㯀
𧖴;	8;	2,脈
𤇱;	8;	2,𤊲,4,
凃;	8;	2,涂
鬰;	8;	2,鬱
𣿖;	8;	2,漂,4,漂
𤴓;	8;	2,匹;正;疋;雅,4,疋
𣳘;	8;	2,泄
𢑱;	8;	2,彝
蕟;	8;	2,䉬
㫄;	8;	2,旁
关;	8;	2,笑;關
𢇮;	8;	2,庋,4,庋
𠬩;	7;	2,𠬝;𠬮
労;	7;	2,勞
𡰪;	7;	2,𡱂;䐁
炌;	7;	2,烗
㬈;	7;	2,㬈,2,㬈
𥁓;	7;	2,䀁
𩼪;	7;	2,漁,4,漁
𧦦;	7;	2,䛁
𠂠;	7;	2,乎;釆
𨐌;	7;	2,辛,4,辛
𦓎;	7;	2,耐
𢥇;	7;	2,顫,4,戰
𩓣;	7;	2,須;䇓,4,須,4,須
𥯕;	7;	2,簜,4,簜
歩;	7;	2,步
𨒌;	7;	2,延;征,4,延
躙;	7;	2,蹸
諊;	7;	2,鞫
𢎨;	7;	2,弔
銄;	7;	2,餉;扃,4,餉
搼;	7;	2,拳,4,拳
𤯞;	7;	2,青,4,靑
𧳖;	7;	2,貌
𥾍;	7;	2,衦
灎;	7;	2,灩
𡽡;	7;	2,巉
𧨆;	7;	2,誣;N00025,4,謊
𩜈;	7;	2,飫
硂;	7;	2,銓
㡀;	7;	2,敝
捓;	7;	2,揶
𦕼;	7;	2,聊,4,聊
𣟄;	7;	2,柝,4,柝
冎;	7;	2,剮
岺;	7;	2,岭
𣏳;	7;	2,枑
𡻭;	7;	2,礧;𡼊
𨻋;	7;	2,隰,4,隰
鈛;	7;	2,鍋;鉞
𠔿;	7;	2,甘;网;罔
𦧧;	7;	2,舐,4,舐
𠜓;	7;	2,剔,4,剔
䠮;	7;	2,騰
𩩌;	7;	2,鯀
佲;	7;	2,酩;姳
㟝;	7;	2,培
䂄;	7;	2,矆
𠉥;	7;	2,胤
尩;	7;	2,尪
䘚;	7;	2,卒
誳;	7;	2,倔;詘
裭;	7;	2,褫
𣵻;	7;	2,沱,4,沱
濅;	7;	2,浸
䬢;	7;	2,饕
鷪;	7;	2,鶯
䕨;	7;	2,藤
埛;	7;	2,坰
熺;	7;	2,熹
䈇;	7;	2,箌;罩
䲔;	7;	2,鯨
𩈅;	7;	2,皯
𩟘;	7;	2,蒸;烝
衅;	7;	2,釁
𪏰;	7;	2,香,4,香
𩐎;	7;	2,齏
䤹;	7;	2,鎪
𩋰;	7;	2,紂
𣭱;	7;	2,㲖
勲;	7;	2,勛,4,勳
𧝓;	7;	2,禫
丽;	7;	2,麗,2,麗,4,麗
𨮘;	7;	2,鑌,4,鑌
𢬁;	7;	2,挩
𦭟;	7;	4,葹
𢏗;	7;	2,羿
𨛁;	7;	2,邦
䑨;	7;	2,舵,4,舵
𧶻;	7;	2,貿
髩;	7;	2,鬢
𥞊;	7;	4,秣
𧎢;	7;	2,蟘,4,蟘
硑;	7;	2,瓶;研;砰
𨆈;	7;	2,獧
𧏾;	7;	2,𧈟
𦤞;	7;	2,臲
𦆢;	7;	2,𦇧
譵;	7;	2,懟
䃱;	7;	2,䃸,4,䃸
媆;	7;	2,嫩;軟
盗;	7;	2,盜
浲;	7;	2,漨
屡;	7;	2,屢
𦅷;	7;	2,紵
豙;	7;	2,𧱏
𥩵;	7;	2,竮,4,竮
𨇤;	7;	2,躚
㤓;	7;	2,笨
㖠;	7;	2,哪
𤺍;	7;	2,憨,4,憨
汓;	7;	2,泅
𤼙;	7;	2,癵
𣡌;	7;	2,櫱
𥙆;	7;	4,袨
𥝧;	7;	2,䆉
幇;	7;	2,幫
䲴;	7;	2,鴆
㭨;	7;	2,椰
佄;	7;	2,酣,4,酣
䙷;	7;	2,得;㝵
𤺛;	7;	2,癇,4,癇,4,癎
𡡽;	7;	2,𡣔
𥹢;	7;	2,聞
𧊈;	7;	2,蚊
嵔;	7;	2,㟪
𣸈;	7;	2,溲
𪅌;	7;	2,鸝
仅;	7;	2,付;僅;奴
䡈;	7;	2,較,4,較
磸;	7;	2,碇
䴢;	7;	2,麋
㹬;	7;	2,𧳅
𡺚;	7;	2,崷
𩊕;	7;	2,䩕
状;	7;	2,狀
匶;	7;	2,柩
过;	7;	2,過
㢸;	7;	2,弼
瞾;	6;	2,照
𥬸;	6;	2,𥬲
𢶏;	6;	2,摽,4,摽
𧝵;	6;	2,褋
䐭;	6;	2,㿃;腣,4,㿃
𤖆;	6;	2,𦎗
䳭;	6;	2,鶺,2,鶺
廃;	6;	2,廢
𢱈;	6;	2,𢯫
𧁨;	6;	2,蘇,4,蘇,4,蘇
𡊨;	6;	2,壇;罈
䨦;	6;	2,滂;雱;霶
叐;	6;	2,夭,2,犮
𥬵;	6;	2,篅
峦;	6;	2,巒
忟;	6;	2,忞
峝;	6;	2,洞;峒
𥺢;	6;	2,糒,4,糒
𢫦;	6;	2,拍
燑;	6;	2,烔
㯈;	6;	2,樕
𠌯;	6;	2,儷
𤆎;	6;	2,災,4,災
𢽟;	6;	2,敕;敇
簒;	6;	2,篡
媍;	6;	2,婦
𦟤;	6;	2,饈
𡵳;	6;	4,屮
䱷;	6;	2,漁
𣃁;	6;	2,斸,4,斸
礮;	6;	2,砲
𧵥;	6;	2,䞈,4,䞈,4,䞈
𢎤;	6;	2,射;引,4,射,4,引
湾;	6;	2,灣
𥖽;	6;	2,磶
𣗪;	6;	4,茶
𠊩;	6;	2,僝
𡂉;	6;	2,哮
䜖;	6;	2,譚
𡁏;	6;	2,𧭊
𤅢;	6;	2,瀹
𧿾;	6;	2,跨
𪗶;	6;	2,齜
𧖩;	6;	2,衄
𨡕;	6;	2,𨢡
𤀥;	6;	2,㵺
𩌹;	6;	2,韅
掦;	6;	2,剔
𨺂;	6;	2,陷
㓮;	6;	2,割;彫
𢣽;	6;	2,厭,4,懕
杂;	6;	2,朵;雜
𤻕;	6;	2,癰,4,癰
㕜;	6;	2,史
𨶑;	6;	2,闃,4,闃
𨌪;	6;	2,䡯,4,䡯
㲈;	6;	2,韶;鞀
䊚;	6;	2,䭔
踲;	6;	2,遯
宲;	6;	2,實;寶;𡧖;賲
𧉧;	6;	2,鼁;蜐
閳;	6;	2,闡
𦵻;	6;	2,茜,4,蒨
鐯;	6;	2,斫;櫡
𥘵;	6;	4,袒
㭱;	6;	2,匣
𩵾;	6;	4,漁
厡;	6;	2,原;源
壀;	6;	2,埤
𢔌;	6;	2,俾
楳;	6;	2,梅
𧓳;	6;	2,蛭
𤭃;	6;	2,㼲,4,㼲
𢺠;	6;	2,擁,4,擁
𨯒;	6;	2,鑯,4,鑯
𥗤;	6;	2,蠹,4,石
𨌔;	6;	2,輓
歝;	6;	2,斁
𤓝;	6;	2,爚;礿
𦌭;	6;	2,羈,4,羈,4,网
塖;	6;	2,塍
𩱈;	6;	2,𩱦
𡀽;	6;	2,喝
䩜;	6;	2,冑
𣰍;	6;	2,睫,4,睫
桙;	6;	2,杅;㭌
𦕎;	6;	4,盻
㲒;	6;	2,菢
𣐙;	6;	4,核
蜝;	6;	2,蜞
癄;	6;	2,憔;㾭
𧆨;	6;	2,罏
𦎬;	6;	2,腥
肤;	6;	2,膚,4,膚
𡑆;	6;	4,疆
𤇚;	6;	2,坼
𧩪;	6;	2,謥
拀;	6;	2,祝;柷
礀;	6;	2,澗,4,澗
檘;	6;	2,枰;檗
磒;	6;	2,隕
拁;	6;	2,枷
𣚊;	6;	2,栭;㮕
𤝗;	6;	2,畋,4,畋
噄;	6;	2,喫
䗫;	6;	2,蟆
𨵨;	6;	2,閾,4,閾
𧇽;	6;	2,虡,4,虡
𤒺;	6;	2,爆
螎;	6;	2,融
瑻;	6;	2,琨
韯;	6;	2,韱
拔;	6;	2,拔,2,拔,4,拔
麯;	6;	2,麴
𡽱;	6;	2,巀
絝;	6;	2,褲
䂥;	6;	2,玟
㓜;	6;	2,幼
𣹟;	6;	2,灨
𩟯;	6;	2,臛;𦞦
萂;	6;	2,䒩
𥫫;	6;	2,算;筭
𩀕;	6;	2,讎,4,讎
𪖞;	6;	4,
挟;	6;	2,挾
𨷕;	6;	2,䦱,4,䦱
𩵔;	5;	2,鮀,4,鮀
𦼶;	5;	2,䕈
𤭛;	5;	2,缸
𠴫;	5;	2,𠱙
𦫃;	5;	2,舲
𥗬;	5;	2,磊;礧,4,礧,4,磊
䦗;	5;	2,侐
䯯;	5;	2,髿
𤝌;	5;	2,猿
琘;	5;	2,玟
䈚;	5;	2,箈
𤚕;	5;	2,㸶
𩛩;	5;	2,餄
㹞;	5;	2,狺;啀
𢻪;	5;	2,攲
𢸈;	5;	2,摘,4,摘
𢖶;	5;	2,恐,4,恐
弖;	5;	4,氐
𢿏;	5;	2,摽;𢿖
𧃒;	5;	2,𧃒
𠜗;	5;	2,郤
礶;	5;	2,罐
帞;	5;	2,帕;袹
𣮫;	5;	2,毠
𧝹;	5;	2,裸
𣧠;	5;	2,殄
摏;	5;	2,舂
𠉕;	5;	2,使,4,使
𠈁;	5;	2,侂
䌧;	5;	2,紬
巄;	5;	2,巃
𣬸;	5;	2,䎄
𣋷;	5;	2,曠
𩞀;	5;	2,糝
𢤳;	5;	2,憒
𤶞;	5;	2,癃,4,癃
皹;	5;	2,皸
𣊡;	5;	2,㬎
𢷄;	5;	2,搣
樬;	5;	2,棇
𤿡;	5;	2,欹;㩻
抙;	5;	2,抔;捊,4,杻
斊;	5;	2,齊
挄;	5;	2,擴
𦖂;	5;	2,聊
𢊃;	5;	2,瘞
𦓷;	5;	2,耘,4,耘,4,耘
𢟅;	5;	2,悠
𧰉;	5;	2,䝁
𡺲;	5;	2,峻
𥝢;	5;	2,利;初
𢮕;	5;	2,揲
㯪;	5;	2,櫺;柃
𢫱;	5;	2,𢯼,4,桁
𥈠;	5;	2,睿,4,睿
𠧨;	5;	2,咎,4,庎,4,咎
𢭗;	5;	2,攘;根
㩘;	5;	2,檥
𣯅;	5;	2,罽;𦇧
偖;	5;	2,撦
𪓰;	5;	2,鼀
䢷;	5;	2,那,4,那
䙗;	5;	2,褅
𢫌;	5;	2,拖
㘹;	5;	2,堲
䨘;	5;	2,霰,4,霰
𦨴;	5;	2,艟
㷭;	5;	2,烽
漞;	5;	2,A02149;	C06394
𤈦;	5;	2,燬
兀;	5;	2,兀;尢,4,兀
䥐;	5;	2,鍪
𡾯;	5;	2,嶾
㴃;	5;	2,淚,4,淚
橱;	5;	2,櫥
䟞;	5;	2,躕
𢠱;	5;	2,赧
貎;	5;	2,猊
𨧮;	5;	2,𨨮
䳨;	5;	2,凰,4,凰
𡿚;	5;	2,巙
匲;	5;	2,奩,4,匳
䑺;	5;	2,帆
𠇮;	5;	2,命,4,命
㨯;	5;	2,擴
𣃼;	5;	2,旃,4,旃
栧;	5;	2,枻
𣴴;	5;	2,海
𤓡;	5;	2,爝
𪖻;	5;	2,嗅
𩓐;	5;	2,脖
𩿦;	5;	2,䳅
𢿧;	5;	2,𢿵,2,𢿽
㟵;	5;	2,岡
渷;	5;	2,沇
𠌫;	5;	2,蹕
坧;	5;	2,墌
燓;	5;	2,焚
㟴;	5;	2,嵬
𨟄;	5;	2,𨟅,4,邑
𢼒;	5;	2,叩
㬕;	5;	2,𣉚,2,𣉚
𠶺;	5;	2,哽
𠴬;	5;	2,喋,4,喋
坛;	5;	2,壇;罈
𢮙;	5;	2,拳
褀;	5;	2,帺
𡸠;	5;	2,堆;阜
𧀹;	5;	2,蔗
晠;	5;	2,晟
琕;	5;	2,玭;鞞
𣌑;	5;	2,曝
𣵿;	5;	2,涎
㔢;	5;	2,㔃
炧;	5;	2,灺
𤈫;	5;	2,尉;熨
箲;	5;	2,筅
𢿜;	5;	2,𢿕
𢿛;	5;	2,毆;驅;敺
䖸;	5;	2,蛾
𨈜;	5;	2,聃,4,聃
㩦;	5;	2,攜
𣐽;	5;	2,榛,4,辛
𡎯;	5;	2,壞
綋;	5;	2,紘
㟭;	5;	2,岷,4,岷
𧼳;	5;	2,𧻀
䍌;	5;	2,瓿
𦅾;	5;	2,繳
爱;	5;	2,愛
橅;	5;	2,模
𨉯;	5;	2,聘
鯿;	5;	2,鯾
㸐;	5;	2,然;燃
垾;	5;	2,岸
弻;	5;	2,弼
𤓪;	5;	2,焦,4,焦
𨚏;	5;	2,邸,4,邸
仌;	5;	2,冰
愡;	5;	2,惱;憁
𣏽;	5;	2,枝;枚,4,枝
𣫖;	5;	2,毅,4,毅
𡾋;	5;	2,㠥,2,𡿈
𢬹;	5;	2,挑
𨈣;	5;	4,耽
𥞋;	5;	4,祛
𣾪;	5;	2,滴
𠃜;	5;	2,尸,4,卩
媠;	5;	2,惰;嫷
𦔐;	5;	2,耘
𠯳;	5;	2,吻;曶
𥏳;	5;	2,俟
穤;	5;	2,糯
𦈢;	5;	2,缶,4,缶
㪟;	5;	2,敦
𢇍;	5;	2,絕
𧈲;	5;	2,蝨
𪃹;	5;	2,鶺
䢜;	5;	2,歸
㫁;	5;	2,斷,4,斷
䋞;	5;	2,網
𦤇;	5;	2,皈,4,歸
袐;	5;	2,祕;𢴩
𡺼;	5;	2,嵲
𨹧;	5;	2,陵
驘;	5;	2,騾
坃;	5;	2,壎
𪚕;	5;	2,龕,2,龗
𡆾;	5;	2,囧,4,囧
潴;	5;	2,瀦
瘮;	5;	2,㾕
𠜜;	5;	2,刮,4,刮
岞;	5;	2,岝
𤳦;	5;	4,奰
𢘍;	5;	2,弼;怫;髴,4,弼,4,怫
𣛲;	5;	2,樗,4,樗
𢉠;	5;	2,宇
𩀞;	5;	2,鶬,4,鶬
𢹲;	5;	2,捃
㕺;	5;	2,呺;咢
𤘐;	5;	2,齲,4,齲,4,齲
𤺒;	5;	2,訾
䘺;	5;	2,綻
𣮌;	5;	2,睫,4,睫
𧎂;	5;	2,蝦,4,蝦
𪐤;	5;	2,疣
𡔸;	5;	2,壹;殪,4,殪
𪖾;	5;	2,𪖕,4,
㨕;	5;	2,楹;攍
䨍;	5;	2,𤌌,4,
擮;	5;	2,截
赼;	5;	2,趑
𢏱;	4;	2,弭
髚;	4;	2,𠿕
𥦑;	4;	2,窣,4,窣
䇺;	4;	2,豆
𤙌;	4;	2,你
𧕳;	4;	2,蠃
𦥔;	4;	2,申
㤤;	4;	2,㥚
𡨔;	4;	2,宰,4,窣
𨓹;	4;	2,往
𥹺;	4;	2,康;糠
𡷏;	4;	2,峍
𦅏;	4;	2,繻
𧷼;	4;	2,贆
𠘯;	4;	2,禸
䳡;	4;	2,鵻;鷃
𣯉;	4;	2,㲲
𤘚;	4;	2,𢍿
䵑;	4;	2,䵒
𦋆;	4;	2,罛
𨰢;	4;	2,鑿
䑹;	4;	2,艘
𨁀;	4;	2,跾,2,跾,4,跾
𨙾;	4;	2,𨙸,4,岐
𤊙;	4;	2,焦
𧈿;	4;	2,蛧
𡰷;	4;	2,戽
𠅤;	4;	2,惠,4,惠
𦵏;	4;	2,葬
𣬈;	4;	2,毗
𧿧;	4;	2,跅
𧸁;	4;	2,幣
貦;	4;	2,玩
𤤼;	4;	2,瑙,4,瑙
䌠;	4;	2,𣤭
𢉙;	4;	2,庶
䙀;	4;	2,繃
𩲶;	4;	2,魑
𧨚;	4;	2,㖏
㪔;	4;	4,散
𪗌;	4;	2,臍
𧗝;	4;	2,軌,4,軌
㺯;	4;	2,弄
怽;	4;	2,𢗿
币;	4;	2,印;幣
壷;	4;	2,壺,2,壺
𦜏;	4;	2,𨁸
𡂔;	4;	2,嘁,4,㗤
𪀪;	4;	2,鵂
𢙆;	4;	2,息
𨹓;	4;	2,降
㺵;	4;	2,玖,4,玖
𤸶;	4;	2,憊
𢧐;	4;	2,戰
貮;	4;	2,貳,2,貳,4,貳
𣊓;	4;	2,暬,4,暬
𤠾;	4;	2,貙
驑;	4;	2,騮
壡;	4;	2,叡
㯟;	4;	2,麓,4,麓
𧫒;	4;	2,諕
𡰯;	4;	2,此;豕
咊;	4;	2,和;𠰓,4,和
𪔓;	4;	2,韶,4,韶
𪓱;	4;	2,䵴
㛮;	4;	2,嫂,2,嫂
𨟎;	4;	2,酅
㬝;	4;	2,𤾥
咟;	4;	2,㗲
㑹;	4;	2,會
𡅶;	4;	2,騫;謇
増;	4;	2,增
秌;	4;	2,秋
𨗁;	4;	2,適
𧈼;	4;	2,蚸,4,蜥
曐;	4;	2,星
𡺿;	4;	2,崚
𢫩;	4;	2,薅
𪁌;	4;	2,鶂
豀;	4;	2,谿
㥦;	4;	2,愜
𥋃;	4;	2,瞤,4,瞤
𢬾;	4;	2,抪
𦉴;	4;	2,罕;言
䏑;	4;	2,炙
鼂;	4;	2,晁
𧿍;	4;	2,企;跂
𥙷;	4;	2,輔
𦘭;	4;	2,飣
𩿊;	4;	2,鴅,4,歡
魗;	4;	2,醜
䤟;	4;	2,鈂,4,鈂
䧲;	4;	2,鳱
𥝈;	4;	2,狒
𣪺;	4;	4,縠
𧼲;	4;	2,𧻓,4,
𢣕;	4;	2,懝
堒;	4;	2,䖵
𣞵;	4;	2,葚
𨋶;	4;	2,軖,4,軖
𧹘;	4;	2,赫
誉;	4;	2,譽
𦆯;	4;	2,繽,4,繽
𡬰;	4;	2,尋,4,尋
聨;	4;	2,聯
𦕅;	4;	2,聊,4,聊
㫳;	4;	2,晨
㙜;	4;	2,臺
栄;	4;	2,榮
㨦;	4;	2,㩳
𨸳;	4;	2,垛
㦯;	4;	2,或
𤷂;	4;	2,痱,4,痱
忂;	4;	2,躣
鰺;	4;	2,鱢
𤷚;	4;	2,瘃
𠋢;	4;	2,叟,4,叟
伃;	4;	2,妤
㹸;	4;	2,貌
彣;	4;	2,文
𧅅;	4;	2,華
龡;	4;	2,吹;䶴
𨍉;	4;	2,𨍈
㠘;	4;	2,嶼
𥓓;	4;	2,碑,4,碑
𨅶;	4;	2,躁,4,躁
𨠕;	4;	2,醟,4,醟
撡;	4;	2,操;摻
䛻;	4;	2,誘
𡼴;	4;	2,嵋
𧖹;	4;	2,脈
肊;	4;	2,臆
𢾲;	4;	2,搦;𢾼
𤮲;	4;	2,甕;瓮
𣲙;	4;	2,冰;溺,4,氷
𠍽;	4;	2,啥,4,啥
𡑣;	4;	2,窟;𡒈,4,堀
𨅐;	4;	2,䟼,4,䟼
𨻶;	4;	2,隙,4,隙
𦧪;	4;	2,舐
𢠳;	4;	2,憋
縘;	4;	2,繫
𠜇;	4;	2,刻
㗍;	4;	2,𪘜
𣧅;	4;	2,𣧂
䍐;	4;	2,罕
䱳;	4;	2,鱣
𥆳;	4;	2,督
𨻳;	4;	2,鄢;堰
𦿒;	4;	2,榛
㷠;	4;	2,燐
𡒅;	4;	4,牆
𦿉;	4;	2,餕
𡵺;	4;	2,岣
𧙪;	4;	2,褢
愠;	4;	2,慍
鑚;	4;	2,鑽
𣂔;	4;	2,析,4,析
𨍟;	4;	2,輜,4,輜
䍑;	4;	2,罕
鶃;	4;	2,鶂
𧂕;	4;	2,耄
𡺙;	4;	2,泉,4,泉
𧊤;	4;	2,蜴
䊏;	4;	2,炒;糝
戼;	4;	2,卯
鴪;	4;	2,鴥
𤐽;	4;	2,炱
𢹭;	4;	2,擁
𨊢;	4;	2,軎,4,軎
𩾜;	4;	2,鳨,4,鳬
簛;	4;	2,簁
𡟮;	4;	2,媐
䊶;	4;	2,紖
蠇;	4;	2,蠣
𦽛;	4;	2,蔻
𨽗;	4;	2,濱
糤;	4;	2,饊
𩱱;	4;	2,鬻;𩱙
旘;	4;	2,幟
焭;	4;	2,煢;橩
𥿰;	4;	2,𦀉
𠶿;	4;	2,𤅊
𡾲;	4;	2,嶭
茣;	4;	2,䓊,2,䓊
𥈃;	4;	2,瞍
𡲎;	4;	2,庳,4,庳
椾;	4;	2,棧;箋;牋
㢣;	4;	2,擎
𤻛;	4;	2,癤,4,癤
𨢝;	4;	2,餡
𡎙;	4;	2,壑
𧦧;	4;	2,詑
㒖;	4;	2,藕,4,藕
㪸;	4;	2,斟
㡡;	4;	2,幮
頬;	4;	2,頰
𠨜;	4;	2,卼
𧩡;	4;	2,讜
𩟷;	4;	2,饔,4,饔
𥪫;	4;	4,
㝈;	4;	2,孿
𦨱;	4;	2,津
𨢍;	4;	2,嗜,4,嗜
𣈏;	4;	2,焟
𣛼;	4;	2,𣟵
䕠;	4;	2,䉬
𢖲;	4;	2,㤞
𤓉;	4;	2,然;燃
𪈧;	4;	2,𪇑,4,
𩚩;	4;	2,餬
䮍;	4;	2,褭,4,褭
㰕;	4;	2,𣟵
儍;	4;	2,傻
恋;	4;	2,戀;甚
𣕧;	4;	2,架
𤞜;	4;	2,狉,4,豾
𦆯;	4;	2,繽,4,繽
𡛸;	4;	2,姻,4,姻
岁;	4;	2,歲
𠬥;	4;	2,𠬢
𣻏;	4;	2,澆
𪅱;	4;	2,鸀
𥼝;	4;	2,黐
𢯪;	4;	2,坼;拆
𧈡;	4;	2,蚤
𠣪;	4;	2,胊
鼦;	4;	2,貂
㦖;	4;	2,懣
𨋏;	4;	2,軫
𩱭;	4;	2,甑
𧴫;	4;	2,得,4,得
𤣱;	4;	2,玘,4,玘
𧣞;	4;	4,觛
𤺋;	4;	2,疹
蚫;	4;	2,鮑
𩿨;	4;	2,鴟
𦑧;	4;	2,翅;翨
𨣶;	4;	2,醇
㮵;	4;	2,栴
䏼;	4;	2,㱚
叹;	4;	2,又;嘆
𠼱;	4;	2,呢
𦝮;	4;	2,吻
𥘇;	4;	4,禮
𡡾;	4;	2,媚
㚌;	4;	2,夥
暿;	4;	2,熹
𪀀;	4;	2,鴇
𢸬;	4;	2,壞
𤺘;	4;	2,啞
磂;	4;	2,硫;鎦,2,硫;鎦
𨂫;	4;	2,跅
朜;	4;	2,㬿
柕;	4;	2,楙
变;	3;	2,變
𪅳;	3;	2,鶹
鬦;	3;	2,鬥
薲;	3;	2,蘋
飦;	3;	2,饘;䭈
蟚;	3;	2,蟛
𧝼;	3;	2,褾
𤰝;	3;	2,甽;畎
䒠;	3;	2,丰;𦵯
𠫗;	3;	2,禸
貃;	3;	2,貊,4,貊
𦰗;	3;	2,華
挷;	3;	2,搒;垹
𥾫;	3;	2,結
悩;	3;	2,惱
𥿉;	3;	2,襪;袜,4,襪
时;	3;	2,時
觹;	3;	2,觿
𩛓;	3;	2,䭀
䙪;	3;	2,襻
櫈;	3;	2,凳
𡘽;	3;	2,焚
䂡;	3;	2,砥
𡎔;	3;	4,
䔒;	3;	2,菩;蓓
霴;	3;	2,靆
𢘿;	3;	2,莎
𠬲;	3;	2,叟
䬠;	3;	2,霏,4,霏,4,霏
𨲠;	3;	2,嗟;䦈
䠓;	3;	2,趥
癏;	3;	2,瘝
𠍶;	3;	2,儒
𡙡;	3;	2,羹
鯶;	3;	2,鯇
𢆝;	3;	2,赶
褠;	3;	2,㡚
圲;	3;	2,圱
㠁;	3;	2,嵾
㗉;	3;	2,㓵;䂮
𠡶;	3;	4,勌
䝯;	3;	2,貤
昖;	3;	2,㫟
畁;	3;	2,畀;𢍁
𠳝;	3;	2,否
㺚;	3;	2,獺,4,獺
𥣪;	3;	2,穳,4,穳
煊;	3;	2,暄;煖
娄;	3;	2,婁
鵭;	3;	2,鳹
𫃵;	3;	2,縷
㨀;	3;	2,抦
𧆾;	3;	2,虡
僴;	3;	2,僩
𦕑;	3;	2,聄
𡇅;	3;	2,國
𨤍;	3;	2,醽
楕;	3;	2,橢
㡳;	3;	2,底
㸁;	3;	2,熯
𦗤;	3;	2,聾,4,聾
㷎;	3;	2,暍
蒷;	3;	2,芸;蕓
䉵;	3;	2,饌
𢦧;	3;	2,矛
𦀠;	3;	2,統;旒
𨑒;	3;	2,徒
𧩫;	3;	2,詫;譇
傁;	3;	2,叟
𨵭;	3;	2,鍵
𡚼;	3;	2,姼
䏤;	3;	2,𦞤
繛;	3;	2,綽
𧖷;	3;	2,衄;愵
𦫬;	3;	2,䒊
𡊣;	3;	2,丘,4,丘
𡱍;	3;	2,骸
閠;	3;	2,閏,4,閏
俫;	3;	2,徠
𢛚;	3;	2,辱
㕤;	3;	2,厹;叴,4,叴
𦍘;	3;	2,羱
㯰;	3;	2,植,4,植
𣐾;	3;	2,薅,4,薅
𣯈;	3;	2,毾
洤;	3;	2,泉,2,泉,4,泉
𡣢;	3;	4,湩
䔵;	3;	2,葌
𩠤;	3;	2,黼;䩉,4,黼
𤖴;	3;	2,坼,4,片
𨛿;	3;	2,聚;郰,4,陬
𤽐;	3;	2,迫;敀,4,敀
𣥦;	3;	2,跟,4,跟
𣓖;	3;	2,枅
䄯;	3;	2,𢆚,2,𢆚
𠈮;	3;	2,企;跂
餴;	3;	2,饙,4,饙
𡧫;	3;	2,宄,4,宄,4,究
竾;	3;	2,篪
𢿾;	3;	2,操;𣀉,4,操
𧈱;	3;	2,蟘
𨑍;	3;	2,軌,4,軌
𤌋;	3;	2,燬
䧡;	3;	2,墉
𢡿;	3;	2,憪,4,憪
𦋽;	3;	2,置;罝
㑄;	3;	2,侮
𩲝;	3;	2,魅
㑏;	3;	2,佇
憞;	3;	2,憝
𢸤;	3;	2,𢹍
䤚;	3;	2,李
𠬁;	3;	2,𡊄
𦸜;	3;	2,菑,4,菑
𣓠;	3;	2,柳
𡉬;	3;	2,坻,4,坻
曎;	3;	2,燡
𧦚;	3;	2,詆
𡩻;	3;	2,浸,4,浸
䊒;	3;	2,精
𦍤;	3;	2,朔;翔,4,朔
𥽀;	3;	2,糶
𢬎;	3;	2,揯
𢁺;	3;	2,虎
𤰇;	3;	2,備;𤰈
𢳟;	3;	2,捅
誈;	3;	2,誣
𤯞;	3;	2,青,4,靑
𡚒;	3;	2,奮,4,奮
䌌;	3;	2,緁
