char;	count;	type,std_chars
𪘨;	259;	2,𪘜
禅;	258;	2,禪
変;	257;	2,變
粃;	256;	2,紕;秕
𦀇;	255;	2,經
𣦸;	255;	2,死;𣦹
宝;	254;	2,寶
㐫;	254;	2,凶
䰟;	253;	2,魂
躳;	253;	2,躬,4,躬
邉;	252;	2,邊
穉;	252;	2,稚
坘;	251;	2,坻
㹅;	251;	2,總,4,摠
齓;	251;	2,齔
潄;	250;	2,漱
冺;	249;	2,泯
鸎;	249;	2,鶯
条;	248;	2,條
䗫;	246;	2,蟆
妷;	246;	2,姪;劮
𦋺;	245;	2,罽,4,罽
𠫵;	244;	2,參
𩬊;	240;	2,髮
叠;	240;	2,疊
𤍠;	240;	4,熱
塩;	240;	2,鹽
宍;	240;	2,肉,4,肉,4,陸
忩;	236;	2,匆
壠;	234;	2,壟
亾;	233;	2,亡
霛;	233;	2,靈
遅;	228;	2,遲
糍;	228;	2,餈,4,餈
㽞;	228;	2,留
腭;	228;	2,齶
脗;	228;	2,吻
頟;	227;	2,額
𣈆;	227;	2,晉,4,晉
𢙢;	227;	2,恐,4,恐
响;	226;	2,響
𢘻;	226;	2,悉,4,悉
隟;	225;	2,隙
餙;	224;	2,飾,4,飾
㦸;	224;	2,戟
駞;	223;	2,駝
𣗖;	223;	2,標
迊;	223;	2,匝;迎
緾;	221;	2,纏
覙;	220;	2,診;覶
円;	219;	2,圓
帋;	218;	2,紙,4,紙
𦒿;	217;	2,耆,4,耆
凑;	217;	2,湊
担;	216;	2,揭;擔;笪
閧;	211;	2,巷;鬨
犇;	211;	2,奔
飱;	210;	2,飧
灋;	210;	2,法
韵;	210;	2,韻
牗;	210;	2,牖;墉,4,牖
匇;	210;	2,匆
蔴;	209;	2,麻
珏;	205;	2,玨
㿈;	204;	2,癰
㪅;	204;	2,更
聼;	204;	2,聽
讁;	203;	2,謫,4,謫
迁;	202;	2,遷;N00134
㝢;	201;	2,宇
𡖉;	201;	4,卵
摂;	199;	2,攝
崐;	199;	2,崑,4,崑
𣅀;	197;	2,旨,4,旨
㤙;	197;	2,恩
卭;	196;	2,卬;邛
𤗊;	196;	2,牒,4,牒
举;	196;	2,舉,4,擧
𣽈;	194;	2,濡,4,濡
捿;	193;	2,棲,4,棲
囬;	193;	2,回,4,回
疴;	192;	2,痾
䛧;	192;	2,謎
䓗;	190;	2,蔥,4,蔥
𢦶;	190;	2,戒,4,戒
帒;	189;	2,袋
韮;	189;	2,韭
郄;	188;	2,郤
𨄔;	185;	2,腨,4,腨
畊;	185;	2,耕
覌;	184;	2,觀
鸖;	183;	2,鶴
畺;	182;	2,疆
斍;	180;	2,覺
渉;	180;	2,涉
矦;	179;	2,侯
蕚;	179;	2,萼
䳌;	178;	2,鵑
朞;	178;	2,期;稘
戞;	177;	2,戛
𡙸;	177;	2,奪,4,奪
嫰;	176;	2,嫩
迃;	176;	2,迂
歴;	174;	2,歷
択;	174;	2,擇,4,枳
癯;	174;	2,臞
贒;	173;	2,賢
壃;	173;	2,疆
崕;	172;	2,崖
𨶒;	172;	2,閻,4,閻
𠻳;	171;	2,㘀
僃;	170;	2,備,4,備
䀎;	170;	2,盼;眄
潜;	170;	2,潛
𧆞;	169;	2,虎,4,虎
㪷;	169;	2,斗
挊;	169;	2,弄
衘;	169;	2,銜
𡱈;	169;	2,局;扃,4,局
兦;	168;	2,亡
𠍴;	167;	2,僭;愆;䇂,4,愆
𦏰;	166;	2,羚
𠕋;	165;	2,冊
𢌿;	164;	2,卑;畀;𢍁,4,畀,4,畀
嶋;	164;	2,島
㒹;	163;	2,顛,2,顛,2,顛,4,顚
𨦣;	162;	2,銳,4,銳
奥;	162;	2,奧
𠋣;	161;	2,倚,4,倚
𢖍;	161;	2,衡,4,衡
𦘺;	161;	2,肥,4,肥
厩;	161;	2,廄
㘅;	160;	2,銜
鸜;	159;	2,鴝
斾;	158;	2,旆
㝛;	157;	2,宿
