進,135806
增,135733
集,135369
普,134757
共,134661
使,134433
記,133464
夫,132775
悉,132706
除,132489
女,132182
手,131475
動,131413
訶,130906
罪,129632
疏,129197
必,129155
遠,128921
止,128815
邊,128021
西,127830
愛,126882
古,126732
竟,126638
約,126430
悟,125821
福,125461
禮,125435
耳,125074
供,124916
祖,124831
士,124236
終,124000
兩,123227
凡,123118
高,122648
失,122508
指,122192
且,121680
矣,120652
漏,119830
要,119457
蜜,119400
猶,118974
稱,117788
養,117541
寂,117396
少,117227
梵,116898
疑,116312
照,116210
平,116154
火,115980
始,114260
到,113850
龍,113824
益,113546
煩,113074
夜,113050
達,113032
彌,112736
座,112662
劫,112536
變,111635
伽,110641
護,110546
喻,110368
習,110106
傳,109437
頌,109372
州,109270
犯,109154
慈,108736
莫,108473
精,107971
遍,107920
極,106345
染,106205
偈,106146
類,105951
輪,105564
親,104730
障,103811
直,103573
微,103167
好,102987
差,102382
公,102139
最,101451
口,101224
昧,100898
病,100537
惟,99872
目,99712
順,99670
豈,98937
悲,98918
樹,98850
靜,98807
林,98712
東,98391
殊,97910
觸,97459
趣,97219
形,96781
似,96665
聽,95783
虛,95760
貪,95450
首,94764
書,94625
漢,94306
機,93700
部,93609
忍,93586
斯,93250
造,92083
元,92063
母,91824
的,91571
壞,91283
賢,91128
礙,90490
邪,89524
乎,89400
律,89345
城,89183
石,88967
男,88889
久,88648
壽,87938
略,87753
告,87698
假,87599
帝,87472
花,86756
剛,86732
剎,86602
面,86438
譬,86018
放,84499
誦,84247
近,84134
敬,83404
加,83290
獨,83019
屬,82883
惑,82699
許,82090
治,81886
吾,81472
支,81358
計,80956
退,80695
弟,80336
全,79611
俗,79385
太,79115
頂,78659
布,78488
譯,77725
父,76809
印,76721
遂,76550
蓋,76252
陰,75560
己,75431
于,74544
莊,74417
箇,74098
伏,74079
曾,73917
息,73672
密,73630
參,73567
落,73533
裏,73522
靈,71625
尋,71568
誰,71396
殺,71353
魔,71199
議,70922
迷,70892
底,70800
像,70778
打,70411
路,70018
違,69670
決,68796
只,68784
絕,68630
蘊,68203
設,68184
被,68124
興,67987
味,67844
墮,67587
看,67544
奉,67385
玄,67304
半,67169
葉,66761
並,66279
藥,65870
易,65730
儀,65351
你,65194
昔,64897
倒,64800
永,64659
辨,64539
哉,64503
熟,64496
都,64386
木,64368
虗,64171
周,63508
究,63226
散,63221
末,63162
表,62952
氣,62872
威,62869
聚,62398
錄,62033
讚,62033
際,61715
志,61583
覆,61352
雨,61310
塔,61204
黃,61114
亂,61031
新,60949
迴,60557
隱,60530
馬,59887
畢,59672
雜,59548
草,59534
號,59386
却,58991
河,58864
輕,58712
徧,58650
望,58539
某,58482
宿,58378
鬼,58330
歲,58009
建,57984
夢,57977
這,57974
磨,57844
感,57743
遊,57740
北,57472
恒,57434
蓮,57366
獄,57255
財,57153
制,56958
歡,56390
右,56122
遮,55957
授,55775
杖,55753
愚,55571
畏,55304
燈,55293
標,54516
勤,54312
繫,54286
鉢,54251
祇,54204
歎,54147
況,54086
旨,53965
續,53912
幻,53852
鼻,53824
漸,53777
象,53737
青,53735
露,53286
毘,53263
癡,53219
臨,52923
雪,52750
細,52533
待,52432
超,52328
齊,52176
雙,52061
牛,51904
含,51666
里,51589
幾,51469
濟,51431
章,51388
頓,51280
窮,51140
權,50874
囉,50817
沒,50682
堅,50335
室,49950
忽,49510
宣,49449
慮,49281
端,49192
容,48872
影,48768
舌,48740
任,48400
承,48350
致,48204
述,48175
丈,48121
宮,47894
獲,47472
吉,47471
勸,47336
珠,47330
調,47267
悔,47167
害,47004
喝,46787
忘,46612
陽,46564
良,46549
舊,46528
拈,46509
節,46127
縛,46015
氏,45961
春,45910
存,45793
徒,45538
瞋,45534
互,45522
越,45444
笑,45269
朝,45193
置,45164
乞,45046
守,44999
遇,44978
宜,44959
特,44876
焉,44804
恩,44783
眠,44601
唐,44469
代,44314
恐,44298
甲,44174
童,44122
江,44095
什,44078
兒,43933
无,43845
據,43833
君,43603
慢,43591
拜,43405
呪,43378
資,43363
翻,43358
飲,43314
群,43185
演,43150
殿,43057
器,42690
億,42634
垢,42569
燒,42300
回,42163
峰,42000
疾,41968
列,41460
遣,41385
毛,41222
麤,41201
察,41186
個,40895
服,40873
憂,40830
浮,40730
消,40637
場,40250
寒,40209
序,40154
臣,40073
優,40033
野,40006
侍,39989
留,39943
辯,39709
懷,39588
左,39371
固,39365
源,39270
弗,39195
田,39166
毒,38966
怖,38963
仁,38894
橫,38860
歷,38853
兼,38669
厭,38560
檀,38420
救,38361
逸,38182
關,38082
羯,37962
恁,37879
并,37640
寧,37538
步,37502
契,37362
交,37277
簡,37228
院,37205
拄,37145
辭,37024
曇,36996
乾,36955
積,36756
降,36672
懺,36584
仰,36569
縱,36556
車,36483
掌,36434
巧,36389
鏡,36381
領,36286
玉,36247
陳,36116
收,36008
點,35893
娑,35835
嗣,35709
休,35691
