type,char,frequency
zzs,[再-土+(┴/十)],19
zzs,[〦/(目*目)/大],19
zzs,[(仁-二+爾)/也],19
zzs,[鎞-囟+(奐-大)],19
zzs,[(几@水)/(几@山)],19
zzs,[臼/丌],19
zzs,[禪-(口*口)+(ㄙ*ㄙ)],19
zzs,[皮-(〡/又)+(王/巾)],19
zzs,[彳*交],19
zzs,[泳-永+色],18
zzs,[賜-勿+月],18
zzs,[彳*(土/(之-、))],18
zzs,[米/里],18
zzs,[打-丁+修],18
zzs,[諲-西+不],18
zzs,[囗@几],18
zzs,[?￡],18
zzs,[鳥*感],18
zzs,[幽-(ㄠ*ㄠ)+(║*║)],18
zzs,[十○],18
zzs,[┴*├],18
zzs,[匕/且],18
zzs,[腕-夗+隹],18
zzs,[宋-木+祋],18
zzs,[首-自+句],18
zzs,[○@水],18
zzs,[媲-囟+(色-巴+囚)],18
zzs,[竺-二+犮],17
zzs,[虎-儿+几],17
zzs,[宋-木+羔],17
no_gaiji,㊂,17
no_gaiji,︰,17
zzs,[阿-可+乘],17
zzs,[社-土+內],17
zzs,[采-木+呆],17
zzs,[(麩-夫+弋)-來+(素-糸)],17
zzs,[社-土+(乃@吉)],17
zzs,[口*舀*鳥],17
zzs,[聲-耳+(夕*ㄗ)],17
zzs,[亭*支],17
zzs,[示*矣],17
zzs,[遷-(大/(夗-夕))+冬],17
zzs,[〡*臣],17
zzs,[身*亢],17
zzs,[口*撮],17
zzs,[颱-台+(癸-天+虫)],17
zzs,[(薩-產+辛)/米],17
zzs,[甾-十+乂],17
zzs,[阿-可+梨],17
zzs,[○@印],17
zzs,[肆-聿+(彰-章+(曼-又+方))],17
zzs,[泓-ㄙ+口],17
zzs,[又/月],17
zzs,[木*用],16
zzs,[〦/(口*口)/(匚@一)],16
no_gaiji,ご,16
zzs,[券-刀],16
zzs,[女*(巢-果+(离-禸))],16
zzs,[打-丁+(冗-几+米)],16
zzs,[口*寫],16
no_gaiji,け,16
zzs,[元/?],16
zzs,[〦/(口*口)/(┌/┌/一)],16
zzs,[彰-章+并],16
zzs,[口*祖],16
zzs,[口*(十/田/寸)],16
zzs,[卄/(麩-夫+生)],16
zzs,[梆-丰+夕],16
zzs,[一/几],16
zzs,[口/(百-日+回)],16
zzs,[穴/爪],16
zzs,[卄/(匚@夾)],16
no_gaiji,㊀,16
zzs,[盡-皿+火],16
zzs,[壴-士+止],16
zzs,[社-土+毛],16
